Armor 0,Category 1,DR 2,Skill/ Focus Penalty 3,Combat Defense Penalty 4,Combat Defense Bonus 5,Cost in SP 6,Weight in Pounds 7,Description 8,Material 9,10,11,12
Hide,Light Armor,1,1,1,0,200,15,,Hide,x,x,x
Leather,Light Armor,2,1,2,0,250,20,,Hide,x,x,x
Studded Leather,Light Armor,3,2,2,0,300,25,,Hide,x,x,x
Ring Mail,Medium Armor,4,3,4,0,400,35,,Metal,x,x,x
Chainmail,Medium Armor,5,4,4,0,500,40,,Metal,x,x,x
Banded Mail,Medium Armor,6,4,5,0,600,45,,Metal,Dragonhide,x,x
Scale,Heavy Armor,7,6,6,0,800,55,,Metal,Dragonhide,x,x
Splint Mail,Heavy Armor,8,6,7,0,1000,60,,Metal,Dragonhide,x,x
Plate,Heavy Armor,9,7,7,0,1200,65,,Metal,Dragonhide,x,x
Full Plate,Heavy Armor,10,7,8,0,1500,70,,Metal,Dragonhide,x,x
Buckler,Shield,0,1,0,1,53,5,Can do 1d2 damage in melee.,Iron,Dragonhide,Mithral,Grovewood
Buckler: Spiked,Shield,0,1,0,1,55,7,Can do 1d3 damage in melee.,Iron,Dragonhide,Mithral,Grovewood
Small Shield,Shield,0,2,0,2,75,10,Can do 1d3 damage in melee.,Iron,Dragonhide,Mithral,Grovewood
Small Shield: Spiked,Shield,0,2,0,2,85,15,Can do 1d4 damage in melee.,Iron,Dragonhide,Mithral,Grovewood
Large Shield,Shield,0,3,0,3,150,15,Can do 1d3 damage in melee.,Iron,Dragonhide,Mithral,Grovewood
Large Shield: Spiked,Shield,0,3,0,3,160,20,Can do 1d4 damage in melee.,Iron,Dragonhide,Mithral,Grovewood
Tower Shield,Shield,0,5,0,5,300,25,Can do 1d4 damage in melee. Tower shields may not be stowed.,Iron,x,Mithral,Grovewood
Tower Shield: Spiked,Shield,0,5,0,5,315,35,Can do 1d6 damage in melee. Tower shields may not be stowed.,Iron,x,Mithral,Grovewood
