NAME,SKILL-OR-FOCUS,ATTRIBUTE,-A,T,NUMBER-OF-FOCUSES,SKILL RANKS,FOCUS RANKS,TRAINED?,SPECIALIZED?
Acrobatics,Skill,Dex,TRUE,FALSE,2,,,,
Balancing,Focus,Dex,TRUE,FALSE,0,,,,
Tumbling,Focus,Dex,TRUE,TRUE,0,,,,
Arcane Magic,Skill,Mag,TRUE,TRUE,8,,,,
Abjuration,Focus,Mag,TRUE,TRUE,0,,,,
Divination,Focus,Mag,TRUE,TRUE,0,,,,
Enchantment,Focus,Mag,TRUE,TRUE,0,,,,
Evocation,Focus,Mag,TRUE,TRUE,0,,,,
Illusion,Focus,Mag,TRUE,TRUE,0,,,,
Movement,Focus,Mag,TRUE,TRUE,0,,,,
Summoning,Focus,Mag,TRUE,TRUE,0,,,,
Transmutation,Focus,Mag,TRUE,TRUE,0,,,,
Armor,Skill,Str,FALSE,TRUE,4,,,,
Heavy Armor,Focus,Str,FALSE,TRUE,0,,,,
Light Armor,Focus,Str,FALSE,TRUE,0,,,,
Medium Armor,Focus,Str,FALSE,TRUE,0,,,,
Shields (Defense),Focus,Str,FALSE,TRUE,0,,,,
Athletics,Skill,Str,TRUE,FALSE,2,,,,
Climb,Focus,Str,TRUE,FALSE,0,,,,
Jump,Focus,Str,TRUE,FALSE,0,,,,
Awareness,Skill,Wis,FALSE,FALSE,6,,,,
Appraisal (Int),Focus,Int,FALSE,FALSE,0,,,,
Appraisal (Wis),Focus,Wis,FALSE,FALSE,0,,,,
Perception,Focus,Wis,FALSE,FALSE,0,,,,
Social Sense,Focus,Wis,FALSE,FALSE,0,,,,
Tracking,Focus,Wis,FALSE,FALSE,0,,,,
Trap Finding,Focus,Wis,FALSE,TRUE,0,,,,
Clockwork,Skill,Int,TRUE,TRUE,2,,,,
Create/Fix Clockwork,Focus,Int,TRUE,TRUE,0,,,,
Operate Complex Clockwork,Focus,Int,TRUE,TRUE,0,,,,
Craft,Skill,Int,TRUE,TRUE,32,,,,
Alchemy,Focus,Int,TRUE,TRUE,0,,,,
Architecture,Focus,Int,TRUE,TRUE,0,,,,
Armorsmithing (Int),Focus,Int,TRUE,TRUE,0,,,,
Armorsmithing (Str),Focus,Str,TRUE,TRUE,0,,,,
Bowmaking (Dex),Focus,Dex,TRUE,TRUE,0,,,,
Bowmaking (Int),Focus,Int,TRUE,TRUE,0,,,,
Blacksmithing (Int),Focus,Int,TRUE,TRUE,0,,,,
Blacksmithing (Str),Focus,Str,TRUE,TRUE,0,,,,
Carpentry (Int),Focus,Int,TRUE,TRUE,0,,,,
Carpentry (Str),Focus,Str,TRUE,TRUE,0,,,,
Cobbling (Dex),Focus,Dex,TRUE,TRUE,0,,,,
Cobbling (Int),Focus,Int,TRUE,TRUE,0,,,,
Engineering,Focus,Int,TRUE,TRUE,0,,,,
Gemcutting (Dex),Focus,Dex,TRUE,TRUE,0,,,,
Gemcutting (Int),Focus,Int,TRUE,TRUE,0,,,,
Leatherworking (Int),Focus,Int,TRUE,TRUE,0,,,,
Leatherworking (Str),Focus,Str,TRUE,TRUE,0,,,,
Locksmithing (Dex),Focus,Dex,TRUE,TRUE,0,,,,
Locksmithing (Int),Focus,Int,TRUE,TRUE,0,,,,
Painting (Dex),Focus,Dex,TRUE,TRUE,0,,,,
Painting (Int),Focus,Int,TRUE,TRUE,0,,,,
Pottery (Dex),Focus,Dex,TRUE,TRUE,0,,,,
Pottery (Int),Focus,Int,TRUE,TRUE,0,,,,
Sculpting (Dex),Focus,Dex,TRUE,TRUE,0,,,,
Sculpting (Int),Focus,Int,TRUE,TRUE,0,,,,
Shipmaking,Focus,Int,TRUE,TRUE,0,,,,
Stonemasonry (Int),Focus,Int,TRUE,TRUE,0,,,,
Stonemasonry (Str),Focus,Str,TRUE,TRUE,0,,,,
Weaponsmithing (Int),Focus,Int,TRUE,TRUE,0,,,,
Weaponsmithing (Str),Focus,Str,TRUE,TRUE,0,,,,
Weaving (Dex),Focus,Dex,TRUE,TRUE,0,,,,
Weaving (Int),Focus,Int,TRUE,TRUE,0,,,,
Cultural Lore,Skill,Wis,FALSE,TRUE,18,,,,
Cultural Knowledge: Avian,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Big City,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Dwarven,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Elf; Dark (Undersea),Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Elf; Star,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Elf; Wood,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Farming,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Gnome; Hill,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Gnome; Forest,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Halfling; Nomad,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Halfling; Sedentary,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Little Village,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Jalai,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Member of the Order,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Military,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Monastic,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Noble,Focus,Wis,FALSE,TRUE,0,,,,
Cultural Knowledge: Rancher,Focus,Wis,FALSE,TRUE,0,,,,
Divine Lore,Skill,Int,FALSE,TRUE,2,,,,
Knowledge of the Gods,Focus,Int,FALSE,TRUE,0,,,,
Religious Knowledge,Focus,Int,FALSE,TRUE,0,,,,
Fortitude,Skill,Con,FALSE,FALSE,3,,,,
Combat Stamina,Focus,Con,FALSE,FALSE,0,,,,
Endurance,Focus,Con,TRUE,FALSE,0,,,,
Hardiness,Focus,Con,FALSE,FALSE,0,,,,
Heavy Weapons,Skill,Str,FALSE,FALSE,11,,,,
Axes,Focus,Str,FALSE,FALSE,0,,,,
Flails,Focus,Str,FALSE,FALSE,0,,,,
Hammers,Focus,Str,FALSE,FALSE,0,,,,
Heavy Blades,Focus,Str,FALSE,FALSE,0,,,,
Heavy Thrown Weapons,Focus,Str,FALSE,FALSE,0,,,,
Maces,Focus,Str,FALSE,FALSE,0,,,,
Picks,Focus,Str,FALSE,FALSE,0,,,,
Polearms,Focus,Str,FALSE,FALSE,0,,,,
Shields (Attack),Focus,Str,FALSE,FALSE,0,,,,
Spears,Focus,Str,FALSE,FALSE,0,,,,
Unique Heavy Weapons,Focus,Str,FALSE,FALSE,0,,,,
History Lore,Skill,Int,FALSE,TRUE,31,,,,
Decipher Script,Focus,Int,FALSE,TRUE,0,,,,
Era Knowledge: First Wars,Focus,Int,FALSE,TRUE,0,,,,
Era Knowledge: Rise of Humanity,Focus,Int,FALSE,TRUE,0,,,,
Era Knowledge: Abital Invasion,Focus,Int,FALSE,TRUE,0,,,,
Era Knowledge: Old Empires Era,Focus,Int,FALSE,TRUE,0,,,,
Era Knowledge: Great Catastrophe,Focus,Int,FALSE,TRUE,0,,,,
Era Knowledge: Dark Millenium,Focus,Int,FALSE,TRUE,0,,,,
Era Knowledge: New Empires Era,Focus,Int,FALSE,TRUE,0,,,,
Era Knowledge: Dragon Wars,Focus,Int,FALSE,TRUE,0,,,,
Era Knowledge: Modern Era,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Argyliap,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Burning Isle,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Delaton,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Dertropal,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Drakdar,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Dusktrie,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Grapia,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Grucor,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Lerrizon,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Misshapen Isle,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Montailar,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Nerillian,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Pycdal,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Spires of Screams,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Tethric,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Terrizon,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Torrappamon,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Vaffirna,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Wocklor,Focus,Int,FALSE,TRUE,0,,,,
Regional Knowledge: Wystral,Focus,Int,FALSE,TRUE,0,,,,
Military Knowledge,Focus,Int,FALSE,TRUE,0,,,,
Leadership,Skill,Per,FALSE,TRUE,2,,,,
Cohort,Focus,Per,FALSE,TRUE,0,,,,
Followers,Focus,Per,FALSE,TRUE,0,,,,
Light Weapons,Skill,Dex,FALSE,FALSE,3,,,,
Light Blades,Focus,Dex,FALSE,FALSE,0,,,,
Light Thrown Weapons,Focus,Dex,FALSE,FALSE,0,,,,
Unique Light Weapons,Focus,Dex,FALSE,FALSE,0,,,,
Magic Lore,Skill,Int,FALSE,TRUE,3,,,,
Detect Magic,Focus,Int,FALSE,TRUE,0,,,,
Magic Knowledge,Focus,Int,FALSE,TRUE,0,,,,
Spell Identification,Focus,Int,FALSE,TRUE,0,,,,
Martial Skill (Dex),Skill,Dex,FALSE,FALSE,6,,,,
Evasion,Focus,Dex,TRUE,FALSE,0,,,,
Improvised Weapons,Focus,Str,FALSE,FALSE,0,,,,
Escaping (Dex),Focus,Dex,TRUE,FALSE,0,,,,
Escaping (Str),Focus,Str,TRUE,FALSE,0,,,,
Unarmed Combat (Dex),Focus,Dex,FALSE,FALSE,0,,,,
Unarmed Combat (Str),Focus,Str,FALSE,FALSE,0,,,,
Martial Skill (Str),Skill,Str,FALSE,FALSE,6,,,,
Evasion,Focus,Dex,TRUE,FALSE,0,,,,
Improvised Weapons,Focus,Str,FALSE,FALSE,0,,,,
Escaping (Dex),Focus,Dex,TRUE,FALSE,0,,,,
Escaping (Str),Focus,Str,TRUE,FALSE,0,,,,
Unarmed Combat (Dex),Focus,Dex,FALSE,FALSE,0,,,,
Unarmed Combat (Str),Focus,Str,FALSE,FALSE,0,,,,
Nature Lore,Skill,Int,FALSE,TRUE,10,,,,
Animal Knowledge (Int),Focus,Int,FALSE,TRUE,0,,,,
