Score 0,d10s 1,Mod 2,Score Avg 3,Exploding Dice 4,Rank 5
-8,1d10,-8,-3,1,Initiate (1)
-7,1d10,-7,-2,1,Initiate (1)
-6,1d10,-6,-1,1,Initiate (1)
-5,1d10,-5,0,1,Initiate (1)
-4,1d10,-4,1,1,Initiate (1)
-3,1d10,-3,2,1,Initiate (1)
-2,1d10,-2,3,1,Initiate (1)
-1,1d10,-1,4,1,Initiate (1)
0,1d10,0,5,1,Initiate (1)
1,1d10,1,6,1,Initiate (1)
2,1d10,2,7,1,Initiate (1)
3,1d10,3,8,1,Initiate (1)
4,1d10,4,9,1,Initiate (1)
5,2d10,1,12,1,Initiate (1)
6,2d10,2,13,1,Initiate (1)
7,2d10,3,14,1,Initiate (1)
8,2d10,4,15,1,Initiate (1)
9,3d10,1,17,1,Novice (2)
10,3d10,2,18,1,Novice (2)
11,3d10,3,19,1,Novice (2)
12,3d10,4,20,1,Novice (2)
13,4d10,1,23,1,Apprentice (3)
14,4d10,2,24,1,Apprentice (3)
15,4d10,3,25,1,Apprentice (3)
16,4d10,4,26,1,Apprentice (3)
17,5d10,1,28,2,Teacher (4)
18,5d10,2,29,2,Teacher (4)
19,5d10,3,30,2,Teacher (4)
20,5d10,4,31,2,Teacher (4)
21,6d10,1,34,2,Journeyman (5)
22,6d10,2,35,2,Journeyman (5)
23,6d10,3,36,2,Journeyman (5)
24,6d10,4,37,2,Journeyman (5)
25,7d10,1,39,2,Expert (6)
26,7d10,2,40,2,Expert (6)
27,7d10,3,41,2,Expert (6)
28,7d10,4,42,2,Expert (6)
29,8d10,1,45,3,Master (7)
30,8d10,2,46,3,Master (7)
31,8d10,3,47,3,Master (7)
32,8d10,4,48,3,Master (7)
33,9d10,1,50,3,Grand Master (8)
34,9d10,2,51,3,Grand Master (8)
35,9d10,3,52,3,Grand Master (8)
36,9d10,4,53,3,Grand Master (8)
37,10d10,1,56,3,Grand Master (8)
38,10d10,2,57,3,Grand Master (8)
39,10d10,3,58,3,Grand Master (8)
40,10d10,4,59,3,Grand Master (8)
41,11d10,1,61,4,Grand Master (8)
42,11d10,2,62,4,Grand Master (8)
43,11d10,3,63,4,Grand Master (8)
44,11d10,4,64,4,Grand Master (8)
45,12d10,1,67,4,Grand Master (8)
46,12d10,2,68,4,Grand Master (8)
47,12d10,3,69,4,Grand Master (8)
48,12d10,4,70,4,Grand Master (8)
49,13d10,1,72,4,Grand Master (8)
50,13d10,2,73,4,Grand Master (8)
51,13d10,3,74,4,Grand Master (8)
52,13d10,4,75,4,Grand Master (8)
53,14d10,1,78,5,Grand Master (8)
54,14d10,2,79,5,Grand Master (8)
55,14d10,3,80,5,Grand Master (8)
56,14d10,4,81,5,Grand Master (8)
57,15d10,1,83,5,Grand Master (8)
58,15d10,2,84,5,Grand Master (8)
59,15d10,3,85,5,Grand Master (8)
60,15d10,4,86,5,Grand Master (8)
61,16d10,1,89,5,Grand Master (8)
62,16d10,2,90,5,Grand Master (8)
63,16d10,3,91,5,Grand Master (8)
64,16d10,4,92,5,Grand Master (8)
65,17d10,1,94,6,Grand Master (8)
66,17d10,2,95,6,Grand Master (8)
67,17d10,3,96,6,Grand Master (8)
68,17d10,4,97,6,Grand Master (8)
