NAME 0,SKILL-OR-FOCUS 1,ATTRIBUTE 2,-A 3,T 4,S 5,ADDL-TEXT 6,SKILL RANKS 7,FOCUS RANKS 8,TRAINED? 9,SPECIALIZED? 10
Acrobatics (Dex),Skill,Dex,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Balancing (Dex),Focus,Dex,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Tumbling (Dex),Focus,Dex,TRUE,TRUE,FALSE,"_ Successful Teacher check to stand from prone for 1 AP; or Master check for 0 AP. Success also means that you do not provide an attack of opening.
_ Tumbling can be used as a performance to entertain and make money
_ For 1 AP; can tumble through threatened areas at your normal speed without providing an attack of opening; target difficulty is the enemies Score Average in Martial Skill focus
_ Use tumbling when dropping from a high location and trying not to hurt yourself. Difficulty status starts at Initiate for a 10ft fall and increases by one status for every 10 additional feet. Partial/proportional success is possible.",0,0,FALSE,FALSE
Arcane Magic (Mag),Skill,Mag,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Abjuration (Mag),Focus,Mag,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Divination (Mag),Focus,Mag,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Enchantment (Mag),Focus,Mag,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Evocation (Mag),Focus,Mag,TRUE,TRUE,FALSE,"Spells dealing with force and sonic damage fall here; other general ""big bang"" spells",0,0,FALSE,FALSE
Illusion (Mag),Focus,Mag,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Movement (Mag),Focus,Mag,TRUE,TRUE,FALSE,These are spells of teleportation or increases in speed,0,0,FALSE,FALSE
Summoning (Mag),Focus,Mag,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Transmutation (Mag),Focus,Mag,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Armor (Str),Skill,Str,FALSE,TRUE,FALSE,You must have at least one rank in the Armor skill to gain DR from armor; see table in the book for bonuses you get for increased status in Armor focuses,0,0,FALSE,FALSE
Heavy Armor (Str),Focus,Str,FALSE,TRUE,FALSE,You must be trained in Medium Armor before you can be trained in Heavy Armor. You do not need to be specialized in Medium Armor before you can be specialized in Heavy Armor. If you are wearing heavy armor without training; double the skill/focus and Combat Defense penalties.,0,0,FALSE,FALSE
Light Armor (Str),Focus,Str,FALSE,TRUE,FALSE,If you are wearing light armor without training; double the skill/focus and Combat Defense penalties.,0,0,FALSE,FALSE
Medium Armor (Str),Focus,Str,FALSE,TRUE,FALSE,You must be trained in Light Armor before you can be trained in Medium Armor. You do not need to be specialized in Light Armor before you can be specialized in Medium Armor. If you are wearing medium armor without training; double the skill/focus and Combat Defense penalties.,0,0,FALSE,FALSE
Shield (Defense) (Str),Focus,Str,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Athletics (Str),Skill,Str,TRUE,FALSE,FALSE,,0,0,FALSE,FALSE
Climb (Str),Focus,Str,TRUE,FALSE,FALSE,"_ climbing over a 5ft wall is a Basic check
_ a rope makes any climb check an Initiate check as long as there is something to brace one's feet against; otherwise it is a Teacher check
_ a creature attacking a climbing creature's Combat Defense gains a +5 advantage bonus to the attack unless the climbing creature can auto-succeed on the climb check; then the bonus is just +2
",0,0,FALSE,FALSE
Jump (Str),Focus,Str,TRUE,FALSE,FALSE,See the book for table showing the target difficulty statuses for long and high jumps while both running and standing still. For long jumps; you are assumed to jump 1/5 as high as you jump long. ,0,0,FALSE,FALSE
Awareness (Wis),Skill,Wis,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Appraisal (Int),Focus,Int,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Appraisal (Wis),Focus,Wis,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Perception (Wis),Focus,Wis,FALSE,FALSE,FALSE,Your five basic senses,0,0,FALSE,FALSE
Social Sense (Wis),Focus,Wis,FALSE,FALSE,FALSE,aka Sense Motive/Insight,0,0,FALSE,FALSE
Tracking (Wis),Focus,Wis,FALSE,FALSE,FALSE,,0,0,FALSE,FALSE
Trap Finding (Wis),Focus,Wis,FALSE,TRUE,FALSE,,0,0,FALSE,FALSE
Clockwork (Int),Skill,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
Create/Fix Clockwork (Int),Focus,Int,TRUE,TRUE,FALSE,Requires GM permission,0,0,FALSE,FALSE
Operate Complex Clockwork (Int),Focus,Int,TRUE,TRUE,FALSE,Requires GM permission,0,0,FALSE,FALSE
Craft (Int),Skill,Int,TRUE,TRUE,FALSE,,0,0,FALSE,FALSE
