Weapon 0,Focus 1,Size 2,Damage 3,Range 4,Cost (sp) 5,Weight (lbs) 6,Code 7,Description 8,Material 9,10,11,12,Skill 13
Battle Axe,Axes,M,2d4,Melee,120,6,,,Metal,x,x,x,Heavy Weapons
Double Axe,Axes,L,2d4,Melee,300,15,BB,,Metal,x,x,x,Heavy Weapons
Great Axe,Axes,L,2d6,Melee,250,12,,,Metal,x,x,x,Heavy Weapons
Hand Axe,Axes,S,1d6,Melee,60,3,,,Metal,x,x,x,Heavy Weapons
Great Bow,Bows,L,1d10,130,500,5,,,Wood,x,x,x,Ranged Weapons
Long Bow,Bows,L,1d8,90,350,3,,,Wood,x,x,x,Ranged Weapons
Short Bow,Bows,M,1d6,50,250,2,,,Wood,x,x,x,Ranged Weapons
Hand Crossbow,Crossbows,S,1d6,40,250,2,L2 P,Creatures gain a +5 bonus with Sleight of Hand checks to hide a Hand Crossbow on their body.,Wood,x,x,x,Ranged Weapons
Heavy Crossbow,Crossbows,L,2d6,150,500,8,L4 P,,Wood,x,x,x,Ranged Weapons
Light Crossbow,Crossbows,M,1d10,100,300,4,L3 P,,Wood,x,x,x,Ranged Weapons
Repeating Crossbow,Crossbows,L,1d8,75,3000,9,,A repeating crossbow uses a clip that holds 5 bolts allowing you to fire the crossbow without having to reload it after each shot. It takes 6AP to eject and insert a new clip of 5 bolts into the repeating crossbow.,Wood,x,x,x,Ranged Weapons
Double Flail,Flails,L,1d6,Melee,400,12,D BB T,,Metal,x,x,x,Heavy Weapons
Flail,Flails,M,1d8,Melee,200,10,T,,Metal,x,x,x,Heavy Weapons
Light Flail,Flails,S,1d6,Melee,90,5,T,,Metal,x,x,x,Heavy Weapons
Scourge,Flails,M,2d4,Melee,150,3,T,,Metal,x,x,x,Heavy Weapons
Triple-Headed Flail,Flails,L,3d4,Melee,500,15,T,,Metal,x,x,x,Heavy Weapons
Maul,Hammers,L,2d6,Melee,250,12,,,Metal,x,x,x,Heavy Weapons
Throwing Hammer,Hammers,S,1d6,Melee,60,2,,,Metal,x,x,x,Heavy Weapons
War Hammer,Hammers,M,1d8,Melee,120,5,,,Metal,x,x,x,Heavy Weapons
Bastard Sword,Heavy Blades,M,2d4,Melee,200,6,,,Metal,x,x,x,Heavy Weapons
Double Sword,Heavy Blades,L,1d8,Melee,500,10,D BB,,Metal,x,x,x,Heavy Weapons
Falchion,Heavy Blades,L,1d10,Melee,350,8,H,,Metal,x,x,x,Heavy Weapons
Greatsword,Heavy Blades,L,2d6,Melee,350,8,,,Metal,x,x,x,Heavy Weapons
Long Sword,Heavy Blades,M,1d8,Melee,120,4,,,Metal,x,x,x,Heavy Weapons
Scimitar,Heavy Blades,M,1d6,Melee,120,4,H,,Metal,x,x,x,Heavy Weapons
Scythe,Heavy Blades,L,1d8,Melee,100,10,H,,Metal,x,x,x,Heavy Weapons
Hand Axe (Thrown),Heavy Thrown Weapons,S,1d6,20,60,3,,,Metal,x,x,x,Heavy Weapons
Javalin,Heavy Thrown Weapons,M,1d6,30,25,2,,,Metal,x,x,x,Heavy Weapons
Throwing Hammer (Thrown),Heavy Thrown Weapons,S,1d6,20,60,2,,,Metal,x,x,x,Heavy Weapons
Trident (Thrown),Heavy Thrown Weapons,M,2d4,20,120,4,,,Metal,x,x,x,Heavy Weapons
Dagger,Light Blades,S,1d4,Melee,20,1,,,Metal,x,x,x,Light Weapons
Katar,Light Blades,S,1d4,Melee,40,1,P,,Metal,x,x,x,Light Weapons
Kukri,Light Blades,S,1d4,Melee,60,2,H,,Metal,x,x,x,Light Weapons
Parrying Dagger,Light Blades,S,1d4,Melee,50,1,D,,Metal,x,x,x,Light Weapons
Rapier,Light Blades,M,1d8,Melee,200,2,,,Metal,x,x,x,Light Weapons
Short Sword,Light Blades,S,1d6,Melee,100,2,,,Metal,x,x,x,Light Weapons
Sickle,Light Blades,M,1d6,Melee,50,2,,,Metal,x,x,x,Light Weapons
Dagger (Thrown),Light Thrown Weapons,S,1d4,20,20,1,,,Metal,x,x,x,Light Weapons
Shuriken (5),Light Thrown Weapons,S,1d4,30,10,0.5,,,Metal,x,x,x,Light Weapons
Club,Maces,M,1d6,Melee,5,3,,,Metal,x,x,x,Heavy Weapons
Greatclub,Maces,L,1d10,Melee,30,9,,,Metal,x,x,x,Heavy Weapons
Light Mace,Maces,S,1d6,Melee,40,3,,,Metal,x,x,x,Heavy Weapons
Mace,Maces,M,1d8,Melee,100,7,,,Metal,x,x,x,Heavy Weapons
Morningstar,Maces,M,2d4,Melee,120,7,,,Metal,x,x,x,Heavy Weapons
